template,BTC,ETH,XRP,BNB,PAXG
bollinger_reversion,2.364,-1.592,-0.266,0.083,7.685
breakout_buy,-2.906,0.0,0.0,0.0,0.0
dip_buy,4.654,-3.037,-0.724,0.392,15.431
full_entry_exit,-8.865,12.376,-8.54,-9.438,-8.147
kd_momentum,4.013,-3.233,-1.045,0.141,15.185
ma200_trend_entry,15.857,-5.87,-0.529,11.962,22.383
ma_pullback,14.401,-4.367,0.777,-0.291,17.577
risk_guard,0.0,0.0,0.0,0.0,0.0
rsi_scale,1.201,-3.104,-0.03,-2.373,7.966
staged_profit_taking,0.0,0.0,0.0,0.0,0.0
stop_loss,0.0,0.0,0.0,0.0,0.0
swing_bb_ma50,-0.031,0.049,-1.481,-1.664,-0.719
bb_rsi_reversion_codex,-0.497,-0.026,-0.467,-0.192,-0.401
breakout_guarded_codex,-0.643,-0.745,-0.635,-0.822,-0.812
kd_trend_scaleout_codex,-1.014,-0.942,-0.861,-0.814,-0.748
ma200_rsi_reclaim_codex,-1.13,0.0,0.0,0.0,2.632
trend_floor_rebalance_codex,-0.943,-0.942,-1.118,-0.286,-0.943
adaptive_profit_ladder_claude,-2.524,-3.398,-2.489,-1.289,-1.143
bb_breakout_momentum_claude,-1.583,-2.074,-1.59,-2.604,-1.905
golden_cross_dual_ma_claude,-1.025,-0.457,-2.618,-2.367,0.293
trend_pyramid_claude,-0.453,0.679,-0.808,0.059,-0.146
triple_confirmation_dip_claude,2.629,-3.839,2.7,-4.592,-3.813
