asset,fee_points,index,pnl_points,price_points,quantity,side,spend_points,template,time
BTC,10,57,,56433.53,0.17702241,buy,10000,bollinger_reversion,1620561600
BTC,5,66,5131,58025.89,0.0885112,sell,0,bollinger_reversion,1620594000
ETH,10,57,,3747.96,2.66545,buy,10000,bollinger_reversion,1620561600
ETH,5,61,5227,3925.56,1.332725,sell,0,bollinger_reversion,1620576000
XRP,10,36,,1.5486,6450.98798915,buy,10000,bollinger_reversion,1620486000
XRP,5,46,5091,1.5798,3225.49399457,sell,0,bollinger_reversion,1620522000
BNB,10,88,,640.21,15.60425485,buy,10000,bollinger_reversion,1620673200
BNB,5,99,5061,649.23,7.80212742,sell,0,bollinger_reversion,1620712800
PAXG,10,30,,1848.47,5.40446964,buy,10000,bollinger_reversion,1620464400
PAXG,5,38,5019,1858.97,2.70223482,sell,0,bollinger_reversion,1620493200
BTC,15,31384,,101248.19,0.14800264,buy,15000,breakout_buy,1733364000
BTC,10,0,,55705.67,0.17933542,buy,10000,dip_buy,1620356400
ETH,10,0,,3424.01,2.91763166,buy,10000,dip_buy,1620356400
XRP,10,0,,1.5501,6444.74550029,buy,10000,dip_buy,1620356400
BNB,10,0,,618.74,16.14571548,buy,10000,dip_buy,1620356400
PAXG,10,0,,1841.2,5.42580925,buy,10000,dip_buy,1620356400
BTC,80,0,,55705.67,1.43468339,buy,80000,full_entry_exit,1620356400
BTC,71,140,71135,49631.32,1.43468339,sell,0,full_entry_exit,1620860400
ETH,80,0,,3424.01,23.34105332,buy,80000,full_entry_exit,1620356400
ETH,92,51,92376,3961.57,23.34105332,sell,0,full_entry_exit,1620540000
XRP,80,0,,1.5501,51557.96400232,buy,80000,full_entry_exit,1620356400
XRP,72,89,71460,1.3874,51557.96400232,sell,0,full_entry_exit,1620676800
BNB,80,0,,618.74,129.16572389,buy,80000,full_entry_exit,1620356400
BNB,71,159,70562,546.84,129.16572389,sell,0,full_entry_exit,1620928800
PAXG,80,0,,1841.2,43.40647403,buy,80000,full_entry_exit,1620356400
PAXG,72,11914,71853,1657.0,43.40647403,sell,0,full_entry_exit,1663268400
BTC,10,23,,58253.2,0.17149272,buy,10000,kd_momentum,1620439200
ETH,10,21,,3523.02,2.83563533,buy,10000,kd_momentum,1620432000
XRP,10,22,,1.6056,6221.97309417,buy,10000,kd_momentum,1620435600
BNB,10,23,,634.04,15.75610371,buy,10000,kd_momentum,1620439200
PAXG,10,19,,1859.19,5.37330773,buy,10000,kd_momentum,1620424800
BTC,15,463,,39681.38,0.37763303,buy,15000,ma200_trend_entry,1622023200
ETH,15,201,,3916.82,3.82580767,buy,15000,ma200_trend_entry,1621080000
XRP,15,212,,1.4904,10054.34782608,buy,15000,ma200_trend_entry,1621119600
BNB,15,466,,357.72,41.89030526,buy,15000,ma200_trend_entry,1622034000
PAXG,15,204,,1878.81,7.97579318,buy,15000,ma200_trend_entry,1621090800
BTC,12,439,,37103.24,0.32309846,buy,12000,ma_pullback,1621936800
ETH,12,57,,3747.96,3.19854,buy,12000,ma_pullback,1620561600
XRP,12,185,,1.3504,8877.36966824,buy,12000,ma_pullback,1621022400
BNB,12,127,,659.0,18.19119878,buy,12000,ma_pullback,1620813600
PAXG,12,470,,1899.74,6.3103372,buy,12000,ma_pullback,1622048400
BTC,10,135,,54082.52,0.18471772,buy,10000,rsi_scale,1620842400
BTC,4,424,3654,39606.1,0.09235886,sell,0,rsi_scale,1621882800
ETH,10,212,,3646.68,2.7394781,buy,10000,rsi_scale,1621119600
ETH,4,424,3627,2650.86,1.36973905,sell,0,rsi_scale,1621882800
XRP,10,57,,1.4677,6806.56809974,buy,10000,rsi_scale,1620561600
XRP,5,203,5071,1.4914,3403.28404987,sell,0,rsi_scale,1621087200
BNB,10,89,,628.02,15.90713671,buy,10000,rsi_scale,1620676800
BNB,3,417,2507,315.53,7.95356835,sell,0,rsi_scale,1621857600
PAXG,10,133,,1831.73,5.45386055,buy,10000,rsi_scale,1620835200
PAXG,5,207,5184,1902.73,2.72693027,sell,0,rsi_scale,1621101600
BTC,20,440,,36537.16,0.54684053,buy,20000,swing_bb_ma50,1621940400
BTC,11,455,10711,39212.14,0.27342026,sell,0,swing_bb_ma50,1621994400
BTC,9,542,9258,33891.84,0.27342027,sell,0,swing_bb_ma50,1622307600
ETH,20,57,,3747.96,5.3309,buy,20000,swing_bb_ma50,1620561600
ETH,11,72,10797,4054.58,2.66545,sell,0,swing_bb_ma50,1620615600
ETH,9,231,9252,3474.31,2.66545,sell,0,swing_bb_ma50,1621188000
XRP,20,229,,1.4726,13567.83919597,buy,20000,swing_bb_ma50,1621180800
XRP,19,233,18519,1.3663,13567.83919597,sell,0,swing_bb_ma50,1621195200
BNB,20,670,,407.01,49.08970295,buy,20000,swing_bb_ma50,1622768400
BNB,18,675,18336,373.88,49.08970295,sell,0,swing_bb_ma50,1622786400
PAXG,20,385,,1896.66,10.53430767,buy,20000,swing_bb_ma50,1621742400
PAXG,10,444,10003,1901.0,5.26715383,sell,0,swing_bb_ma50,1621954800
