config,asset,spacing_mode,lower,upper,grids,order_amount,return_percent,trade_count,wall_seconds,error
conservative,BTC,arithmetic,44564.54,66846.8,10,5000,28.64,18,1.21,
conservative,BTC,geometric,44564.54,66846.8,10,5000,16.47,10,1.22,
conservative,ETH,arithmetic,2739.21,4108.81,10,5000,37.47,73,1.32,
conservative,ETH,geometric,2739.21,4108.81,10,5000,68.26,101,1.2,
conservative,XRP,arithmetic,1.24,1.86,10,5000,21.25,25,1.3,
conservative,XRP,geometric,1.24,1.86,10,5000,21.03,23,1.35,
conservative,BNB,arithmetic,494.99,742.49,10,5000,109.13,91,1.09,
conservative,BNB,geometric,494.99,742.49,10,5000,80.18,70,1.2,
conservative,PAXG,arithmetic,1472.96,2209.44,10,5000,27.9,10,0.79,
conservative,PAXG,geometric,1472.96,2209.44,10,5000,28.87,10,0.82,
balanced,BTC,arithmetic,27852.83,83558.51,20,5000,30.27,16,1.53,
balanced,BTC,geometric,27852.83,83558.51,20,5000,17.14,8,1.57,
balanced,ETH,arithmetic,1712.01,5136.02,20,5000,44.0,69,1.6,
balanced,ETH,geometric,1712.01,5136.02,20,5000,72.7,89,1.66,
balanced,XRP,arithmetic,0.78,2.33,20,5000,23.66,23,1.87,
balanced,XRP,geometric,0.78,2.33,20,5000,28.61,23,1.93,
balanced,BNB,arithmetic,309.37,928.11,20,5000,62.51,45,1.52,
balanced,BNB,geometric,309.37,928.11,20,5000,90.83,55,1.71,
balanced,PAXG,arithmetic,920.6,2761.8,20,5000,26.5,8,0.82,
balanced,PAXG,geometric,920.6,2761.8,20,5000,29.97,8,0.89,
skyfloor_narrow,BTC,arithmetic,11141.13,100270.21,50,2000,24.22,65,2.02,
skyfloor_narrow,BTC,geometric,11141.13,100270.21,50,2000,38.74,68,1.97,
skyfloor_narrow,ETH,arithmetic,684.8,6163.22,50,2000,103.54,580,2.04,
skyfloor_narrow,ETH,geometric,684.8,6163.22,50,2000,98.84,394,2.15,
skyfloor_narrow,XRP,arithmetic,0.31,2.79,50,2000,74.94,216,3.15,
skyfloor_narrow,XRP,geometric,0.31,2.79,50,2000,80.32,169,3.71,
skyfloor_narrow,BNB,arithmetic,123.75,1113.73,50,2000,140.81,428,2.43,
skyfloor_narrow,BNB,geometric,123.75,1113.73,50,2000,145.57,320,2.26,
skyfloor_narrow,PAXG,arithmetic,368.24,3314.16,50,2000,24.43,28,1.25,
skyfloor_narrow,PAXG,geometric,368.24,3314.16,50,2000,18.92,16,1.12,
skyfloor_mid,BTC,arithmetic,5570.57,167117.01,50,2000,41.77,60,1.37,
skyfloor_mid,BTC,geometric,5570.57,167117.01,50,2000,63.81,75,1.7,
skyfloor_mid,ETH,arithmetic,342.4,10272.03,50,2000,76.21,234,1.52,
skyfloor_mid,ETH,geometric,342.4,10272.03,50,2000,103.1,230,1.5,
skyfloor_mid,XRP,arithmetic,0.16,4.65,50,2000,80.61,117,2.11,
skyfloor_mid,XRP,geometric,0.16,4.65,50,2000,77.1,105,2.51,
skyfloor_mid,BNB,arithmetic,61.87,1856.22,50,2000,140.36,243,1.66,
skyfloor_mid,BNB,geometric,61.87,1856.22,50,2000,126.85,183,1.86,
skyfloor_mid,PAXG,arithmetic,184.12,5523.6,50,2000,15.12,10,1.22,
skyfloor_mid,PAXG,geometric,184.12,5523.6,50,2000,13.91,8,1.13,
skyfloor_wide,BTC,arithmetic,5570.57,167117.01,100,1000,91.24,541,2.22,
skyfloor_wide,BTC,geometric,5570.57,167117.01,100,1000,90.51,441,2.59,
skyfloor_wide,ETH,arithmetic,342.4,10272.03,100,1000,81.8,1026,2.08,
skyfloor_wide,ETH,geometric,342.4,10272.03,100,1000,77.53,861,2.56,
skyfloor_wide,XRP,arithmetic,0.16,4.65,100,1000,75.07,486,3.26,
skyfloor_wide,XRP,geometric,0.16,4.65,100,1000,85.16,500,4.28,
skyfloor_wide,BNB,arithmetic,61.87,1856.22,100,1000,127.26,885,2.32,
skyfloor_wide,BNB,geometric,61.87,1856.22,100,1000,132.31,780,2.84,
skyfloor_wide,PAXG,arithmetic,184.12,5523.6,100,1000,9.7,35,1.7,
skyfloor_wide,PAXG,geometric,184.12,5523.6,100,1000,10.05,41,1.55,
skyfloor_5x,BTC,arithmetic,2785.28,278528.35,100,1000,142.68,416,1.61,
skyfloor_5x,BTC,geometric,2785.28,278528.35,100,1000,119.65,391,2.0,
skyfloor_5x,ETH,arithmetic,171.2,17120.05,100,1000,114.99,584,1.56,
skyfloor_5x,ETH,geometric,171.2,17120.05,100,1000,92.34,643,2.12,
skyfloor_5x,XRP,arithmetic,0.08,7.75,100,1000,154.19,932,1.99,
skyfloor_5x,XRP,geometric,0.08,7.75,100,1000,118.75,632,3.18,
skyfloor_5x,BNB,arithmetic,30.94,3093.7,100,1000,138.73,485,1.59,
skyfloor_5x,BNB,geometric,30.94,3093.7,100,1000,120.66,502,2.12,
skyfloor_5x,PAXG,arithmetic,92.06,9206.0,100,1000,6.75,10,1.44,
skyfloor_5x,PAXG,geometric,92.06,9206.0,100,1000,9.99,19,1.5,
