return_percent,cagr_percent,sharpe,sortino,max_drawdown_percent,trade_count,win_count,loss_count,win_rate_percent,avg_win_points,avg_loss_points,profit_factor,exposure,total_fee_points,total_turnover_points,slippage_cost_points,fee_adjusted_pnl_percent,slippage_adjusted_pnl_percent,fee_after_negative,slippage_after_negative,wall_seconds,template,asset,interval,candle_count
2.364,0.4686,0.1855,0.2242,5.2557,2,1,0,100.0,135.94,0.0,99999.0,0.9987,15.0,15125.94,15.13,2.364,2.3489,False,False,7.09,bollinger_reversion,BTC,1h,43800
-1.592,-0.3206,-0.1072,-0.1274,5.1668,2,1,0,100.0,231.69,0.0,99999.0,0.9987,15.0,15221.69,15.22,-1.592,-1.6072,True,True,7.23,bollinger_reversion,ETH,1h,43800
-0.266,-0.0533,0.0061,0.0069,7.5181,2,1,0,100.0,95.64,0.0,99999.0,0.9992,15.0,15085.64,15.09,-0.266,-0.2811,True,True,7.12,bollinger_reversion,XRP,1h,43800
0.083,0.0166,0.0196,0.0224,5.87,2,1,0,100.0,65.38,0.0,99999.0,0.998,15.0,15055.38,15.06,0.083,0.0679,False,False,7.31,bollinger_reversion,BNB,1h,43800
7.685,1.4926,0.845,0.8732,3.3716,2,1,0,100.0,23.37,0.0,99999.0,0.9993,15.0,15013.37,15.01,7.685,7.67,False,False,7.32,bollinger_reversion,PAXG,1h,43800
-2.906,-0.5884,-0.1593,-0.1083,9.0111,1,0,0,0.0,0.0,0.0,0.0,0.2835,15.0,14985.0,14.98,-2.906,-2.921,True,True,5.8,breakout_buy,BTC,1h,43800
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,5.91,breakout_buy,ETH,1h,43800
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,5.95,breakout_buy,XRP,1h,43800
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,6.17,breakout_buy,BNB,1h,43800
0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,5.78,breakout_buy,PAXG,1h,43800
4.654,0.9144,0.1949,0.2374,10.0516,1,0,0,0.0,0.0,0.0,0.0,1.0,10.0,9990.0,9.99,4.654,4.644,False,False,4.8,dip_buy,BTC,1h,43800
-3.037,-0.6153,-0.0756,-0.0906,11.0446,1,0,0,0.0,0.0,0.0,0.0,1.0,10.0,9990.0,9.99,-3.037,-3.047,True,True,4.71,dip_buy,ETH,1h,43800
-0.724,-0.1453,0.0203,0.0232,14.1379,1,0,0,0.0,0.0,0.0,0.0,1.0,10.0,9990.0,9.99,-0.724,-0.734,True,True,4.71,dip_buy,XRP,1h,43800
0.392,0.0783,0.0422,0.0487,11.4576,1,0,0,0.0,0.0,0.0,0.0,1.0,10.0,9990.0,9.99,0.392,0.382,False,False,4.68,dip_buy,BNB,1h,43800
15.431,2.9133,0.861,0.9016,6.1925,1,0,0,0.0,0.0,0.0,0.0,1.0,10.0,9990.0,9.99,15.431,15.421,False,False,4.61,dip_buy,PAXG,1h,43800
-8.865,-1.8404,-0.4269,-0.0268,13.336,2,0,1,0.0,0.0,8785.77,0.0,0.0032,151.0,151125.23,151.13,-8.865,-9.0161,True,True,8.5,full_entry_exit,BTC,1h,43800
12.376,2.3624,0.9196,0.0761,2.6688,2,1,0,100.0,12455.22,0.0,99999.0,0.0012,172.0,172387.22,172.39,12.376,12.2036,False,False,8.48,full_entry_exit,ETH,1h,43800
-8.54,-1.7705,-0.3676,-0.0228,13.1673,2,0,1,0.0,0.0,8460.48,0.0,0.002,152.0,151451.52,151.45,-8.54,-8.6915,True,True,8.62,full_entry_exit,XRP,1h,43800
-9.438,-1.9642,-0.3071,-0.0216,16.4388,2,0,1,0.0,0.0,9358.02,0.0,0.0036,151.0,150552.98,150.55,-9.438,-9.5886,True,True,8.89,full_entry_exit,BNB,1h,43800
-8.147,-1.6862,-0.1767,-0.1091,16.2857,2,0,1,0.0,0.0,8067.47,0.0,0.272,152.0,151844.53,151.84,-8.147,-8.2988,True,True,8.73,full_entry_exit,PAXG,1h,43800
4.013,0.7905,0.1768,0.2151,9.698,1,0,0,0.0,0.0,0.0,0.0,0.9995,10.0,9990.0,9.99,4.013,4.003,False,False,5.66,kd_momentum,BTC,1h,43800
