template,asset,regime,regime_label,regime_start,regime_end,candle_count,return_percent,max_drawdown_percent,trade_count,first_iso,last_iso,insufficient_data
bollinger_reversion,BTC,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,1.057,2.6558,2,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
bollinger_reversion,BTC,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-4.4181,4.6331,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
bollinger_reversion,BTC,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.9555,0.5953,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
bollinger_reversion,BTC,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,1.6291,1.2436,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
bollinger_reversion,BTC,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,1.4748,0.3422,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
bollinger_reversion,ETH,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,1.534,3.4385,2,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
bollinger_reversion,ETH,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-4.6267,5.1668,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
bollinger_reversion,ETH,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.6559,0.8005,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
bollinger_reversion,ETH,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,0.9737,1.5311,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
bollinger_reversion,ETH,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.8611,0.3455,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
bollinger_reversion,XRP,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,-0.854,3.6934,2,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
bollinger_reversion,XRP,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-2.9376,3.3599,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
bollinger_reversion,XRP,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.5916,1.234,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
bollinger_reversion,XRP,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,-0.3842,1.0014,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
